"first_name","last_name","city","country","total_films_rented","top_film_category","top_film_category_count"
"Sherry","Marshall","Shubra al-Khayma","Egypt","5","Sci-Fi","5"
"Andrew","Purdy","Baku","Azerbaijan","5","Games","5"
"Alvin","Deloach","Cuauhtmoc","Mexico","5","Children","5"
"Stephanie","Mitchell","Yerevan","Armenia","5","Animation","5"
"Donna","Thompson","Elista","Russian Federation","5","Foreign","5"
"Holly","Fox","Haldia","India","5","Classics","5"
"Mike","Way","Valparai","India","5","Foreign","5"
"Vickie","Brewer","Halle/Saale","Germany","5","Sci-Fi","5"
"Todd","Tan","Kamjanets-Podilskyi","Ukraine","5","Children","5"
"Julio","Noland","Konotop","Ukraine","5","Family","5"
"Virgil","Wofford","Jos Azueta","Mexico","5","Foreign","5"
"Virginia","Green","Toulouse","France","5","Sci-Fi","5"
"Leroy","Bustamante","Tongliao","China","5","Drama","5"
"Ana","Bradley","Memphis","United States","5","Horror","5"
"Cheryl","Murphy","Mysore","India","5","New","5"
"Rhonda","Kennedy","Apeldoorn","Netherlands","5","Sports","5"
"Marcus","Hidalgo","Tartu","Estonia","5","Sports","5"
"Shelly","Watts","Dayton","United States","5","Action","5"
"Judith","Cox","Daxian","China","5","Animation","5"
"Dolores","Wagner","Ipoh","Malaysia","5","Children","5"
"Gordon","Allard","Hodeida","Yemen","5","Action","5"
"Tanya","Gilbert","Naju","South Korea","5","Family","5"
"Steven","Curley","Miraj","India","5","Sports","5"
"Hilda","Hopkins","Mandaluyong","Philippines","5","Sci-Fi","5"
"Stanley","Scroggins","Omiya","Japan","5","Foreign","5"
"Gwendolyn","May","Higashiosaka","Japan","5","Sci-Fi","5"
"Joshua","Mark","Rampur","India","5","Animation","5"
"Rosemary","Schmidt","Usak","Turkey","5","New","5"
"Marcia","Dean","Tanza","Philippines","5","Foreign","5"
"Karl","Seal","Cape Coral","United States","5","Documentary","5"
"Tommy","Collazo","Qomsheh","Iran","5","Comedy","5"
"Becky","Miles","Tambaram","India","5","Documentary","5"
"Nicholas","Barfield","Belm","Brazil","5","Sports","5"
"Marion","Ocampo","Weifang","China","5","Classics","5"
"Joyce","Edwards","Jedda","Saudi Arabia","5","Family","5"
"Walter","Perryman","Xinxiang","China","5","Sports","5"
"Shane","Millard","La Paz","Mexico","5","Drama","5"
"Olga","Jimenez","Ogbomosho","Nigeria","5","Children","5"
"George","Linton","Sorocaba","Brazil","5","Documentary","5"
"Billy","Poulin","Cabuyao","Philippines","5","Sports","5"
"Ralph","Madrigal","Arecibo","Puerto Rico","5","New","5"
"Priscilla","Lowe","Salamanca","Mexico","5","Sci-Fi","5"
"Stacey","Montgomery","Fuyu","China","5","Music","5"
"Roger","Quintanilla","Hsichuh","Taiwan","5","Action","5"
"Fernando","Churchill","Tonghae","South Korea","5","Music","5"
"Rick","Mattox","Mit Ghamr","Egypt","5","Sports","5"
"Terry","Carlson","Miyakonojo","Japan","5","Animation","5"
"Clara","Shaw","Molodetno","Belarus","5","Drama","5"
"Hazel","Warren","Hohhot","China","5","Family","5"
"Lois","Butler","Bandar Seri Begawan","Brunei","5","Sports","5"
"Victor","Barkley","Manchester","United States","5","Documentary","5"
"Heather","Morris","Nagareyama","Japan","5","Classics","5"
"Audrey","Ray","Graz","Austria","5","Documentary","5"
"Lena","Jensen","Halisahar","India","5","Sports","5"
"Charles","Kowalski","Sungai Petani","Malaysia","5","Sci-Fi","5"
"Holly","Fox","Haldia","India","5","Foreign","5"
"Pearl","Garza","Jodhpur","India","5","Foreign","5"
"Rachel","Barnes","Kamakura","Japan","5","Sci-Fi","5"
"Debbie","Reyes","Fukuyama","Japan","5","Children","5"
"Brandon","Huey","Balikesir","Turkey","5","Sci-Fi","5"
"Ken","Prewitt","Bucuresti","Romania","5","Horror","5"
"Anthony","Schwab","Tafuna","American Samoa","5","Sports","5"
"Richard","Mccrary","Arlington","United States","5","Foreign","5"
"Mae","Fletcher","Donostia-San Sebastin","Spain","5","Sports","5"
"Catherine","Campbell","Moscow","Russian Federation","5","Animation","5"
"Jeffrey","Spear","Ciparay","Indonesia","5","Games","5"
"Gabriel","Harder","Sivas","Turkey","5","Drama","5"
"Troy","Quigley","Vancouver","Canada","5","Animation","5"
"Ruby","Washington","Meixian","China","5","Animation","5"
"Diane","Collins","Omdurman","Sudan","5","Foreign","5"
"Beth","Franklin","Haiphong","Vietnam","5","New","5"
"William","Satterfield","Sanaa","Yemen","5","Action","5"
"Matthew","Mahan","Cuautla","Mexico","5","Travel","5"
"Steve","Mackenzie","Probolinggo","Indonesia","5","Games","5"
"Johnnie","Chisholm","Plock","Poland","5","Sports","5"
"Fred","Wheat","Jurez","Mexico","5","Family","5"
"Russell","Brinson","Tychy","Poland","5","Animation","5"
"Jim","Rea","El Fuerte","Mexico","5","Sci-Fi","5"
"June","Carroll","Skikda","Algeria","5","Animation","5"
"Vincent","Ralston","Allende","Mexico","5","Travel","5"
"Elsie","Kelley","Ikerre","Nigeria","5","Documentary","5"
"Lawrence","Lawton","Yaound","Cameroon","5","Foreign","5"
"Jorge","Olivares","Lhokseumawe","Indonesia","5","Travel","5"
"Peggy","Myers","Abha","Saudi Arabia","5","Sci-Fi","5"
"Mike","Way","Valparai","India","5","Sci-Fi","5"
"Maxine","Silva","Poos de Caldas","Brazil","5","Sci-Fi","5"
"Karl","Seal","Cape Coral","United States","5","Horror","5"
"Florence","Woods","Merlo","Argentina","5","Sci-Fi","5"
"Patrick","Newsom","Hanoi","Vietnam","5","New","5"
"Thelma","Murray","Lima","Peru","5","Horror","5"
"Melissa","King","Lungtan","Taiwan","5","Drama","5"
"Christy","Vargas","Datong","China","5","Music","5"
"Angela","Hernandez","Shimonoseki","Japan","5","Children","5"
"Alfredo","Mcadams","Serpuhov","Russian Federation","5","Travel","5"
"Naomi","Jennings","Karnal","India","5","Documentary","5"
"Renee","Lane","Compton","United States","5","Games","5"
"Ethel","Webb","Boksburg","South Africa","5","Sports","5"
"Jamie","Waugh","Kuwana","Japan","5","Sports","5"
"Jason","Morrissey","Baha Blanca","Argentina","5","Action","5"
"Arthur","Simpkins","Maikop","Russian Federation","5","Family","5"
"Mary","Smith","Sasebo","Japan","5","Comedy","5"
"Kathleen","Adams","Arak","Iran","5","Music","5"
"Ellen","Simpson","Po","Brazil","5","New","5"
"Michael","Silverman","Tiefa","China","5","Animation","5"
"Marsha","Douglas","Beira","Mozambique","5","Foreign","5"
"Carla","Gutierrez","Bhusawal","India","5","Animation","5"
"Sally","Pierce","Chandrapur","India","5","Music","5"
"Ernest","Stepp","Huaian","China","5","Foreign","5"
"Martha","Gonzalez","Chisinau","Moldova","5","Classics","5"
"Bernice","Willis","Batman","Turkey","5","Action","5"
"Marie","Turner","Lipetsk","Russian Federation","5","Animation","5"
"Ronnie","Ricketts","Ziguinchor","Senegal","5","Sci-Fi","5"
"Micheal","Forman","Escobar","Argentina","5","Animation","5"
"June","Carroll","Skikda","Algeria","5","Comedy","5"
"Juanita","Mason","Pune","India","5","Children","5"
"Sherri","Rhodes","Ahmadnagar","India","5","Sci-Fi","5"
"Pauline","Henry","Torren","Mexico","5","Documentary","5"
"Lori","Wood","Rae Bareli","India","5","Sports","5"
"Maria","Miller","Kragujevac","Yugoslavia","5","Sports","5"
"Duane","Tubbs","Yangor","Nauru","5","Horror","5"
"Lisa","Anderson","Sagamihara","Japan","5","Games","5"
"Duane","Tubbs","Yangor","Nauru","5","Comedy","5"
"Roger","Quintanilla","Hsichuh","Taiwan","5","Documentary","5"
"Virginia","Green","Toulouse","France","5","Action","5"
"Nancy","Thomas","Yamuna Nagar","India","5","Horror","5"
"Roger","Quintanilla","Hsichuh","Taiwan","5","Animation","5"
"Leroy","Bustamante","Tongliao","China","5","Animation","5"
"Shawn","Heaton","Nakhon Sawan","Thailand","5","Animation","5"
"Natalie","Meyer","Aparecida de Goinia","Brazil","5","Travel","5"
"Jorge","Olivares","Lhokseumawe","Indonesia","5","Foreign","5"
"Martin","Bales","Namibe","Angola","5","Animation","5"
"Thelma","Murray","Lima","Peru","5","Sports","5"
"Sarah","Lewis","Liepaja","Latvia","5","Animation","5"
"Angel","Barclay","Ueda","Japan","5","Sci-Fi","5"
"Brandon","Huey","Balikesir","Turkey","5","Sports","5"
"Rosemary","Schmidt","Usak","Turkey","5","Horror","5"
"Tommy","Collazo","Qomsheh","Iran","5","Family","5"
"Timothy","Bunn","Braslia","Brazil","5","New","5"
"Dean","Sauer","Johannesburg","South Africa","5","Music","5"
"Rick","Mattox","Mit Ghamr","Egypt","5","Sci-Fi","5"
"Grace","Ellis","Duisburg","Germany","5","Foreign","5"
"Maurice","Crawley","Coatzacoalcos","Mexico","5","Foreign","5"
"Steven","Curley","Miraj","India","5","Sci-Fi","5"
"Harold","Martino","Boa Vista","Brazil","5","Classics","5"
"Jeff","East","San Felipe de Puerto Plata","Dominican Republic","5","Foreign","5"
"Gabriel","Harder","Sivas","Turkey","5","Family","5"
"Mabel","Holland","Monywa","Myanmar","5","Comedy","5"
"Joan","Cooper","Saint Louis","United States","5","Games","5"
"Sue","Peters","Changzhou","China","5","Children","5"
"Eleanor","Hunt","Saint-Denis","Runion","5","Travel","5"
"Enrique","Forsythe","Patras","Greece","5","Sports","5"
"Shawn","Heaton","Nakhon Sawan","Thailand","5","Music","5"
"Bobby","Boudreau","South Hill","Anguilla","5","Travel","5"
"Patricia","Johnson","San Bernardino","United States","5","Sports","5"
"Katie","Elliott","Kisumu","Kenya","5","Games","5"
"Rosa","Reynolds","Lancaster","United States","5","Classics","5"
"Stanley","Scroggins","Omiya","Japan","5","Documentary","5"
"Jerry","Jordon","Onomichi","Japan","5","Sci-Fi","5"
"Roberta","Harper","Shahr-e Kord","Iran","5","Action","5"
"Darlene","Rose","Pyongyang","North Korea","5","Music","5"
"Kristin","Johnston","Sunnyvale","United States","4","Sports","4"
"Angela","Hernandez","Shimonoseki","Japan","4","Games","4"
"Ricardo","Meador","Okayama","Japan","4","Family","4"
"Dianne","Shelton","Tabriz","Iran","4","Documentary","4"
"Joanne","Robertson","Urawa","Japan","4","Animation","4"
"Lois","Butler","Bandar Seri Begawan","Brunei","4","Drama","4"
"Marc","Outlaw","Brindisi","Italy","4","Classics","4"
"Zachary","Hite","Akron","United States","4","Sports","4"
"Marion","Snyder","Santa Brbara dOeste","Brazil","4","Animation","4"
"Jill","Hawkins","Linz","Austria","4","Classics","4"
"Maria","Miller","Kragujevac","Yugoslavia","4","New","4"
"Ronnie","Ricketts","Ziguinchor","Senegal","4","Travel","4"
"Tom","Milner","Abu Dhabi","United Arab Emirates","4","Action","4"
"Jerry","Jordon","Onomichi","Japan","4","Documentary","4"
"Brett","Cornwell","Siliguri (Shiliguri)","India","4","Animation","4"
"David","Royal","Callao","Peru","4","Sci-Fi","4"
"Gene","Sanborn","Salala","Oman","4","Sci-Fi","4"
"Gordon","Allard","Hodeida","Yemen","4","Games","4"
"Patrick","Newsom","Hanoi","Vietnam","4","Comedy","4"
"Seth","Hannon","al-Manama","Bahrain","4","Sci-Fi","4"
"Glenda","Frazier","Qinhuangdao","China","4","Classics","4"
"Misty","Lambert","Sharja","United Arab Emirates","4","Travel","4"
"Gertrude","Castillo","Nuuk","Greenland","4","Games","4"
"Brenda","Wright","Kamarhati","India","4","Classics","4"
"Cassandra","Walters","Salinas","United States","4","Animation","4"
"Mary","Smith","Sasebo","Japan","4","Drama","4"
"Billy","Poulin","Cabuyao","Philippines","4","Animation","4"
"Tim","Cary","Bijapur","India","4","Family","4"
"Emma","Boyd","Qalyub","Egypt","4","Drama","4"
"Violet","Rodriquez","Kowloon and New Kowloon","Hong Kong","4","Sports","4"
"Virginia","Green","Toulouse","France","4","Comedy","4"
"Kathy","James","Baybay","Philippines","4","Action","4"
"Sherry","Marshall","Shubra al-Khayma","Egypt","4","New","4"
"Zachary","Hite","Akron","United States","4","Comedy","4"
"Chris","Brothers","Gijn","Spain","4","Action","4"
"June","Carroll","Skikda","Algeria","4","Foreign","4"
"Edna","West","Klerksdorp","South Africa","4","Sci-Fi","4"
"Walter","Perryman","Xinxiang","China","4","Foreign","4"
"Todd","Tan","Kamjanets-Podilskyi","Ukraine","4","Music","4"
"Courtney","Day","Uijongbu","South Korea","4","Animation","4"
"Vanessa","Sims","Siegen","Germany","4","Drama","4"
"Roberto","Vu","Yinchuan","China","4","Drama","4"
"Casey","Mena","Tokat","Turkey","4","Animation","4"
"Kim","Cruz","Grand Prairie","United States","4","Games","4"
"Crystal","Ford","Ashdod","Israel","4","Family","4"
"Seth","Hannon","al-Manama","Bahrain","4","Family","4"
"Kent","Arsenault","Juiz de Fora","Brazil","4","Sci-Fi","4"
"Christopher","Greco","Brescia","Italy","4","Travel","4"
"Joe","Gilliland","Imus","Philippines","4","Travel","4"
"Clara","Shaw","Molodetno","Belarus","4","New","4"
"Jimmy","Schrader","Atinsk","Russian Federation","4","Drama","4"
"Gerald","Fultz","Satna","India","4","Documentary","4"
"Karen","Jackson","Osmaniye","Turkey","4","Classics","4"
"Eleanor","Hunt","Saint-Denis","Runion","4","Horror","4"
"Edward","Baugh","Trshavn","Faroe Islands","4","Sports","4"
"Marsha","Douglas","Beira","Mozambique","4","Children","4"
"Pamela","Baker","Nanyang","China","4","Comedy","4"
"Morris","Mccarter","Fengshan","Taiwan","4","Games","4"
"Edwin","Burk","Newcastle","South Africa","4","Games","4"
"Byron","Box","Zhezqazghan","Kazakstan","4","Horror","4"
"Geraldine","Perkins","Tel Aviv-Jaffa","Israel","4","New","4"
"Dorothy","Taylor","Esfahan","Iran","4","Documentary","4"
"Wendy","Harrison","Nezahualcyotl","Mexico","4","Classics","4"
"Leslie","Seward","Pontianak","Indonesia","4","Documentary","4"
"Isaac","Oglesby","Cuernavaca","Mexico","4","Music","4"
"Bill","Gavin","Rockford","United States","4","Drama","4"
"Eddie","Tomlin","Ozamis","Philippines","4","Games","4"
"Gilbert","Sledge","York","United Kingdom","4","Family","4"
"Johnnie","Chisholm","Plock","Poland","4","Music","4"
"Jose","Andrew","Kingstown","Saint Vincent and the Grenadines","4","Horror","4"
"Shawn","Heaton","Nakhon Sawan","Thailand","4","Games","4"
"Travis","Estep","al-Qatif","Saudi Arabia","4","Sci-Fi","4"
"Marion","Snyder","Santa Brbara dOeste","Brazil","4","Drama","4"
"Lynn","Payne","Lilongwe","Malawi","4","Music","4"
"Erin","Dunn","Ljubertsy","Russian Federation","4","Documentary","4"
"Myrtle","Fleming","Santiago de los Caballeros","Dominican Republic","4","Drama","4"
"Crystal","Ford","Ashdod","Israel","4","Action","4"
"Tammy","Sanders","Changhwa","Taiwan","4","Children","4"
"Lena","Jensen","Halisahar","India","4","Action","4"
"Lucille","Holmes","Soshanguve","South Africa","4","Sci-Fi","4"
"Valerie","Black","Brockton","United States","4","Sports","4"
"Sonia","Gregory","Benin City","Nigeria","4","Foreign","4"
"Guy","Brownlee","Zhoushan","China","4","Drama","4"
"Martin","Bales","Namibe","Angola","4","Classics","4"
"Edward","Baugh","Trshavn","Faroe Islands","4","Sci-Fi","4"
"Gordon","Allard","Hodeida","Yemen","4","Travel","4"
"Edgar","Rhoads","Eskisehir","Turkey","4","Horror","4"
"Ruben","Geary","Lublin","Poland","4","New","4"
"Miguel","Betancourt","Erlangen","Germany","4","Travel","4"
"Jessie","Milam","Binzhou","China","4","Games","4"
"Roy","Whiting","Nyeri","Kenya","4","Comedy","4"
"Evelyn","Morgan","Vaduz","Liechtenstein","4","Action","4"
"Cynthia","Young","Munger (Monghyr)","India","4","Action","4"
"Sue","Peters","Changzhou","China","4","Horror","4"
"Warren","Sherrod","Usolje-Sibirskoje","Russian Federation","4","Animation","4"
"Melissa","King","Lungtan","Taiwan","4","Documentary","4"
"Tina","Simmons","Goinia","Brazil","4","Drama","4"
"Ella","Oliver","Aden","Yemen","4","Action","4"
"Danielle","Daniels","Hidalgo","Mexico","4","Sports","4"
"Louis","Leone","Tanauan","Philippines","4","New","4"
"Dawn","Sullivan","Funafuti","Tuvalu","4","Music","4"
"Eddie","Tomlin","Ozamis","Philippines","4","Animation","4"
"Ian","Still","Garland","United States","4","Animation","4"
"Cathy","Spencer","Kakamigahara","Japan","4","Documentary","4"
"Perry","Swafford","Quilmes","Argentina","4","Sports","4"
"Greg","Robins","Nam Dinh","Vietnam","4","Comedy","4"
"Shannon","Freeman","Varanasi (Benares)","India","4","New","4"
"Elsie","Kelley","Ikerre","Nigeria","4","Foreign","4"
"Ellen","Simpson","Po","Brazil","4","Family","4"
"Leonard","Schofield","Tandil","Argentina","4","Games","4"
"June","Carroll","Skikda","Algeria","4","Sports","4"
"Terrence","Gunderson","Jinzhou","China","4","Documentary","4"
"Kent","Arsenault","Juiz de Fora","Brazil","4","Drama","4"
"Andrea","Henderson","Mahajanga","Madagascar","4","Horror","4"
"Sidney","Burleson","Czestochowa","Poland","4","Sports","4"
"Phillip","Holm","Tama","Japan","4","Sports","4"
"Sherri","Rhodes","Ahmadnagar","India","4","Children","4"
"Regina","Berry","Jinchang","China","4","Family","4"
"Carrie","Porter","Liaocheng","China","4","Classics","4"
"Juan","Fraley","Teboksary","Russian Federation","4","Music","4"
"Stacy","Cunningham","Pereira","Colombia","4","Documentary","4"
"Monica","Hicks","Mukateve","Ukraine","4","Animation","4"
"Phillip","Holm","Tama","Japan","4","Travel","4"
"Jeff","East","San Felipe de Puerto Plata","Dominican Republic","4","Documentary","4"
"Marcia","Dean","Tanza","Philippines","4","Family","4"
"Darrell","Power","Halifax","Canada","4","Sci-Fi","4"
"Ida","Andrews","Luzinia","Brazil","4","Sci-Fi","4"
"Richard","Mccrary","Arlington","United States","4","Horror","4"
"Brittany","Riley","Sumy","Ukraine","4","Classics","4"
"Brett","Cornwell","Siliguri (Shiliguri)","India","4","Children","4"
"Gregory","Mauldin","Sousse","Tunisia","4","Sci-Fi","4"
"Marion","Ocampo","Weifang","China","4","New","4"
"Stephen","Qualls","Dhaka","Bangladesh","4","Drama","4"
"Tammy","Sanders","Changhwa","Taiwan","4","Classics","4"
"Marlene","Welch","Iwaki","Japan","4","New","4"
"Jeanne","Lawson","Ashgabat","Turkmenistan","4","Family","4"
"Frank","Waggoner","Jamalpur","Bangladesh","4","Documentary","4"
"Sylvia","Ortiz","Dos Quebradas","Colombia","4","Music","4"
"Claude","Herzog","Benguela","Angola","4","Horror","4"
"Walter","Perryman","Xinxiang","China","4","Family","4"
"Rachel","Barnes","Kamakura","Japan","4","Horror","4"
"Christopher","Greco","Brescia","Italy","4","Action","4"
"Joshua","Mark","Rampur","India","4","Drama","4"
"Alexander","Fennell","Bergamo","Italy","4","Drama","4"
"Martin","Bales","Namibe","Angola","4","Music","4"
"Scott","Shelley","Aurora","United States","4","Documentary","4"
"Amy","Lopez","Jhansi","India","4","Family","4"
"Martha","Gonzalez","Chisinau","Moldova","4","Family","4"
"Mark","Rinehart","Tabuk","Saudi Arabia","4","Action","4"
